company_name,cik,filing_date,exec_name,name,current_role,age,compensation_salary,compensation_stock,compensation_bonus,compensation_other,compensation_total,compensation_year,education,start_date,past_roles,board_member,committee_memberships,other_board_memberships,notable_achievements
Alphabet Inc.,0001652044,2022-04-22,Sundar Pichai,Sundar Pichai,"Chief Executive Officer, Alphabet and Google",49,,,,,,2021,"[{'degree': 'Bachelor of Technology', 'field': None, 'university': 'Indian Institute of Technology Kharagpur', 'year': None}, {'degree': 'Master of Science', 'field': None, 'university': 'Stanford University', 'year': None}, {'degree': 'Master of Business Administration', 'field': None, 'university': 'The Wharton School of the University of Pennsylvania', 'year': None}]",2004,"['Senior Vice President of Products', 'Senior Vice President of Android, Chrome and Apps']",True,['Executive Committee'],['The Pichai Family Foundation'],
Alphabet Inc.,0001652044,2022-04-22,Ruth M. Porat,Ruth M. Porat,"Chief Financial Officer, Alphabet and Google",64,,,,,,2021,"[{'degree': 'Bachelor of Arts', 'field': None, 'university': 'Stanford University', 'year': None}, {'degree': 'Master of Science', 'field': None, 'university': 'The London School of Economics', 'year': None}, {'degree': 'Master of Business Administration', 'field': None, 'university': 'The Wharton School of the University of Pennsylvania', 'year': None}]",2015,"['Executive Vice President and Chief Financial Officer of Morgan Stanley', 'Vice Chairman of Investment Banking']",True,[],"['Blackstone Inc.', 'Council on Foreign Relations', 'Memorial Sloan Kettering Cancer Center', 'Stanford Management Company', 'Verily Life Sciences']",
Alphabet Inc.,0001652044,2022-04-22,Prabhakar Raghavan,Prabhakar Raghavan,"Senior Vice President, Knowledge and Information, Google",61,,,,,,2021,"[{'degree': 'Bachelor of Technology', 'field': None, 'university': 'Indian Institute of Technology Madras', 'year': None}, {'degree': 'Doctoral degree', 'field': 'Electrical Engineering and Computer Science', 'university': 'University of California, Berkeley', 'year': None}]",2012,"['Senior Vice President, Ads', 'Vice President, Apps']",False,[],[],
Alphabet Inc.,0001652044,2022-04-22,Philipp Schindler,Philipp Schindler,"Senior Vice President, Chief Business Officer, Google",51,,,,,,2021,"[{'degree': 'Diplom Kaufmann', 'field': 'Business Administration and Management', 'university': 'European Business School in Oestrich-Winkel, Germany', 'year': None}]",2005,"['Vice President of Global Sales and Operations', 'President for Northern and Central Europe', 'Managing Director, Germany, Switzerland, Austria and Nordics']",False,[],[],
Alphabet Inc.,0001652044,2022-04-22,Kent Walker,Kent Walker,"President, Global Affairs, and Chief Legal Officer, Alphabet and Google; Corporate Secretary, Alphabet",61,,,,,,2021,"[{'degree': 'Bachelor of Arts', 'field': 'Social Studies', 'university': 'Harvard University', 'year': None}, {'degree': 'Juris Doctor', 'field': None, 'university': 'Stanford Law School', 'year': None}]",2006,"['Senior Vice President, Global Affairs and Chief Legal Officer of Google', 'Executive positions at Netscape, AOL, and eBay']",False,[],"['Board of Overseers, Harvard University']",
Alphabet Inc.,0001652044,2021-04-23,Sundar Pichai,Sundar Pichai,"Chief Executive Officer, Alphabet and Google",49,,,,,,2021,"[{'degree': 'Bachelor of Technology', 'field': None, 'university': 'Indian Institute of Technology Kharagpur', 'year': None}, {'degree': 'Master of Science', 'field': None, 'university': 'Stanford University', 'year': None}, {'degree': 'Master of Business Administration', 'field': None, 'university': 'The Wharton School of the University of Pennsylvania', 'year': None}]",2004,"['Senior Vice President of Products', 'Senior Vice President of Android, Chrome and Apps']",True,['Executive Committee'],['The Pichai Family Foundation'],
Alphabet Inc.,0001652044,2021-04-23,Ruth M. Porat,Ruth M. Porat,"Chief Financial Officer, Alphabet and Google",64,,,,,,2021,"[{'degree': 'Bachelor of Arts', 'field': None, 'university': 'Stanford University', 'year': None}, {'degree': 'Master of Science', 'field': None, 'university': 'The London School of Economics', 'year': None}, {'degree': 'Master of Business Administration', 'field': None, 'university': 'The Wharton School of the University of Pennsylvania', 'year': None}]",2015,"['Executive Vice President and Chief Financial Officer of Morgan Stanley', 'Vice Chairman of Investment Banking']",True,[],"['Blackstone Inc.', 'Council on Foreign Relations', 'Memorial Sloan Kettering Cancer Center', 'Stanford Management Company', 'Verily Life Sciences']",
Alphabet Inc.,0001652044,2021-04-23,Prabhakar Raghavan,Prabhakar Raghavan,"Senior Vice President, Knowledge and Information, Google",61,,,,,,2021,"[{'degree': 'Bachelor of Technology', 'field': None, 'university': 'Indian Institute of Technology Madras', 'year': None}, {'degree': 'Doctoral degree', 'field': 'Electrical Engineering and Computer Science', 'university': 'University of California, Berkeley', 'year': None}]",2012,"['Senior Vice President, Ads', 'Vice President, Apps', 'Founder and Leader of Yahoo! Labs', 'Chief Technology Officer at Verity']",False,[],[],
Alphabet Inc.,0001652044,2021-04-23,Philipp Schindler,Philipp Schindler,"Senior Vice President, Chief Business Officer, Google",51,,,,,,2021,"[{'degree': 'Diplom Kaufmann', 'field': 'Business Administration and Management', 'university': 'European Business School in Oestrich-Winkel, Germany', 'year': None}]",2005,"['Vice President of Global Sales and Operations', 'President for Northern and Central Europe', 'Managing Director, Germany, Switzerland, Austria and Nordics']",False,[],[],
Alphabet Inc.,0001652044,2021-04-23,Kent Walker,Kent Walker,"President, Global Affairs, and Chief Legal Officer, Alphabet and Google; Corporate Secretary, Alphabet",61,,,,,,2021,"[{'degree': 'Bachelor of Arts', 'field': 'Social Studies', 'university': 'Harvard University', 'year': None}, {'degree': 'Juris Doctor', 'field': None, 'university': 'Stanford Law School', 'year': None}]",2006,"['Senior Vice President, Global Affairs and Chief Legal Officer of Google', 'Executive positions at Netscape, AOL, and eBay']",False,[],"['Board of Overseers, Harvard University']",
