company_name,cik,filing_date,name,age,current_role,past_roles,compensation_salary,compensation_stock,compensation_bonus,compensation_other,compensation_total,compensation_year,start_date,board_member,committee_memberships,other_board_memberships,notable_achievements,education1_degree,education1_field,education1_university,education1_year,education2_degree,education2_field,education2_university,education2_year,education3_degree,education3_field,education3_university,education3_year
"ADMA BIOLOGICS, INC.",0001368514,2024-04-15,Adam S. Grossman,,"President, Chief Executive Officer, and Interim Chief Financial Officer",Interim Chief Financial Officer,636540,1921878,793125,45702,6039649,2023,October 2011,True,,,,,,,,,,,,,,,
"ADMA BIOLOGICS, INC.",0001368514,2024-04-15,Brian Lenz,,Former Executive Vice President and Chief Financial Officer,Vice President and Chief Financial Officer; Executive Vice President and Chief Financial Officer; General Manager of ADMA BioCenters,445578,452836,334875,107042,,2023,May 2012,False,,,,,,,,,,,,,,,
AECOM,0000868857,2023-01-30,Troy Rudd,58,Chief Executive Officer,"Executive Vice President and Chief Financial Officer; Chief Operating Officer, Design Consulting Services Americas; Chief Financial Officer, DCS Global; Senior Vice President, Corporate Finance and Treasurer; Vice President, Financial Planning and Analysis",1190463,6278345,1747358,281964,9502192,2022,2009,False,,,,,,,,,,,,,,,
AECOM,0000868857,2023-01-30,Gaurav Kapoor,45,Chief Financial Officer,"Chief Accounting Officer and Global Controller; Treasurer; Senior Vice President, Financial Planning & Analysis; Senior Vice President, Project Delivery, Americas Design Consulting Services",703079,1901606,833177,19701,3457563,2022,2015,False,,,,,,,,,,,,,,,
AECOM,0000868857,2023-01-30,Lara Poloni,54,President,"Chief Executive of Europe, Middle East and Africa; Chief Executive of Australia New Zealand; Managing Director of the Southern Australian Region; Managing Director of Environment ANZ; Group Leader of Transportation VicSA",774935,2064668,950004,21160,3810767,2022,2006,False,,,,,,,,,,,,,,,
AECOM,0000868857,2023-01-30,David Gan,50,Chief Legal Officer,"Senior Vice President, Deputy General Counsel; General Counsel, AECOM Capital",589424,1303964,607885,29645,2530918,2022,2006,False,,,,,,,,,,,,,,,
AECOM,0000868857,2023-01-30,Todd Battley,49,Chief Strategy Officer,Chief Executive of AECOM Australia New Zealand,469996,815087,502202,18463,1805748,2022,1996,False,,,,,,,,,,,,,,,
APPLIED MATERIALS INC /DE,0000006951,2023-01-25,Gary E. Dickerson,65,President and Chief Executive Officer,"Chief Executive Officer, Varian Semiconductor Equipment Associates, Inc.; President and Chief Operating Officer, KLA-Tencor Corporation",1030000,17783334,1358055,228583,20399972,2022,2013,True,,"Board Member, U.S. – China Business Council",,,,,,,,,,,,,
APPLIED MATERIALS INC /DE,0000006951,2023-01-25,Brice Hill,,"Senior Vice President, Chief Financial Officer and Enterprise Enablement Group","Executive Vice President and CFO, Xilinx; Chief Financial Officer and Chief Operating Officer, Technology, Systems and Core Engineering Group, Intel Corporation",441346,8351018,523723,58343,11374430,2022,2022,False,,,,,,,,,,,,,,,
APPLIED MATERIALS INC /DE,0000006951,2023-01-25,Prabu G. Raja,,"Senior Vice President, Semiconductor Products Group",,679615,5372622,819791,18682,6890710,2022,,False,,,,,,,,,,,,,,,
APPLIED MATERIALS INC /DE,0000006951,2023-01-25,Omkaram Nalamasu,,"Senior Vice President, Chief Technology Officer",,592308,3727899,568080,4543,4892830,2022,,False,,,,,,,,,,,,,,,
APPLIED MATERIALS INC /DE,0000006951,2023-01-25,Timothy M. Deane,,"Group Vice President, Applied Global Services",,433350,2807119,412458,16703,3669630,2022,,False,,,,,,,,,,,,,,,
APPLIED MATERIALS INC /DE,0000006951,2023-01-25,Ali Salehpour,,"Former Senior Vice President, Services, Display and Flexible Technology",,653461,4577886,630028,17291,5878666,2022,,False,,,,,,,,,,,,,,,
"AST SpaceMobile, Inc.",0001780312,2024-07-30,Abel Avellan,,Chairman of the Board and Chief Executive Officer,,,,,,,,,True,,,,,,,,,,,,,,,
"AST SpaceMobile, Inc.",0001780312,2024-07-30,Scott Wisniewski,,"President, Chief Strategy Officer",,,,,,,,,False,,,,,,,,,,,,,,,
"AST SpaceMobile, Inc.",0001780312,2024-07-30,Andrew Johnson,,"Executive Vice President, Chief Financial Officer, and Chief Legal Officer",,,,,,,,,False,,,,,,,,,,,,,,,
"AST SpaceMobile, Inc.",0001780312,2024-07-30,Shanti Gupta,,"Executive Vice President, Chief Operating Officer",,,,,,,,,False,,,,,,,,,,,,,,,
"AST SpaceMobile, Inc.",0001780312,2024-07-30,Dr. Huiwen Yao,,"Executive Vice President, Chief Technology Officer",,,,,,,,,False,,,,,,,,,,,,,,,
"AST SpaceMobile, Inc.",0001780312,2024-07-30,Maya Bernal,,"Senior Director, Chief Accounting Officer",,,,,,,,,False,,,,,,,,,,,,,,,
ATMOS ENERGY CORP,0000731802,2022-12-16,J. Kevin Akers,59,President and Chief Executive Officer,"President of the Kentucky/Mid-States Division; Senior Vice President, Safety and Enterprise Services; Executive Vice President",976923,2523433,1325782,13424,4839562,2022,2019,False,,,,,,,,,,,,,,,
ATMOS ENERGY CORP,0000731802,2022-12-16,Christopher T. Forsythe,,Senior Vice President and Chief Financial Officer,Vice President and Controller,510631,776964,450435,221069,1959099,2022,2017,False,,,,,,,,,,,,,,,
ATMOS ENERGY CORP,0000731802,2022-12-16,Karen E. Hartsfield,,"Senior Vice President, General Counsel, and Corporate Secretary",Senior Attorney,452523,567433,368471,205901,1629865,2022,2017,False,,,,,,,,,,,,,,,
ATMOS ENERGY CORP,0000731802,2022-12-16,John S. McDill,,"Senior Vice President, Utility Operations","Vice President, Pipeline Operations",437096,567433,355910,178935,1539374,2022,2021,False,,,,,,,,,,,,,,,
ATMOS ENERGY CORP,0000731802,2022-12-16,J. Matt Robbins,,"Senior Vice President, Human Resources","Director of Compensation and Benefits; Vice President, Human Resources",341523,567433,278089,163076,1384907,2022,2017,False,,,,,,,,,,,,,,,
"Apogee Therapeutics, Inc.",0001974640,2024-04-24,"Michael Henderson, M.D.",34,Chief Executive Officer,"Chief Business Officer of BridgeBio Pharma, Inc.; Senior Vice President, Asset Acquisition, Strategy and Operations at BridgeBio Pharma, Inc.; Vice President of Asset Acquisition, Strategy and Operations at BridgeBio Pharma, Inc.; Associate at McKinsey & Company; Co-founder of PellePharm, Inc.",,,,,,,September 2022,True,,ARYA Sciences Acquisition Corp IV; Spyre Therapeutics,,B.A.,Global Health,Harvard University,,M.D.,,Stanford University,,,,,
